timestamp,value1,value2,value3,value4,value5,value6
26.5,4.99999999900132e-6,1.3223332358869135e-18,9.986776667641138e-16,0.0,0.0,0.0
26.6,4.999999999001288e-6,1.290131482092059e-18,9.987098685179085e-16,0.0,0.0,0.0
26.7,4.999999999001256e-6,1.258742524288492e-18,9.98741257475712e-16,0.0,0.0,0.0
26.8,4.999999999001226e-6,1.2281378052657998e-18,9.987718621947348e-16,0.0,0.0,0.0
26.9,4.999999999001196e-6,1.1982887678135735e-18,9.988017112321872e-16,0.0,0.0,0.0
27.0,4.999999999001167e-6,1.1691668547214001e-18,9.988308331452791e-16,0.0,0.0,0.0
27.1,4.9999999990011385e-6,1.1407435087788705e-18,9.988592564912218e-16,0.0,0.0,0.0
27.2,4.999999999001111e-6,1.1129901727755746e-18,9.988870098272252e-16,0.0,0.0,0.0
27.3,4.9999999990010834e-6,1.0858782895010995e-18,9.989141217104997e-16,0.0,0.0,0.0
27.4,4.999999999001057e-6,1.0593793017450365e-18,9.989406206982558e-16,0.0,0.0,0.0
27.5,4.999999999001031e-6,1.033464652296973e-18,9.989665353477036e-16,0.0,0.0,0.0
27.6,4.9999999990010055e-6,1.0081057839464995e-18,9.989918942160542e-16,0.0,0.0,0.0
27.7,4.999999999000981e-6,9.832741394832055e-19,9.990167258605175e-16,0.0,0.0,0.0
27.8,4.999999999000956e-6,9.589698677989325e-19,9.990410301322016e-16,0.0,0.0,0.0
